"","From","eID","Date","Subject","to","month","day","year"
"1","Ada.Campo-Corrente@gastech.com.kronos",1070,"1/17/2014 12:28","RE: Managing perceptions about the IPO","Sten.Sanjorge Jr.@gastech.com.tethys","1","17","2014 12:28"
"2","Ada.Campo-Corrente@gastech.com.kronos",1070,"1/17/2014 12:28","RE: Managing perceptions about the IPO","Ada.Campo-Corrente@gastech.com.kronos","1","17","2014 12:28"
"3","Ada.Campo-Corrente@gastech.com.kronos",1070,"1/17/2014 12:28","RE: Managing perceptions about the IPO","Ingrid.Barranco@gastech.com.kronos","1","17","2014 12:28"
"4","Ada.Campo-Corrente@gastech.com.kronos",1078,"1/17/2014 13:02","RE: Managing perceptions about the IPO","Sten.Sanjorge Jr.@gastech.com.tethys","1","17","2014 13:02"
"5","Ada.Campo-Corrente@gastech.com.kronos",1078,"1/17/2014 13:02","RE: Managing perceptions about the IPO","Ada.Campo-Corrente@gastech.com.kronos","1","17","2014 13:02"
"6","Ada.Campo-Corrente@gastech.com.kronos",1088,"1/17/2014 13:36","RE: Managing perceptions about the IPO","Sten.Sanjorge Jr.@gastech.com.tethys","1","17","2014 13:36"
"7","Ada.Campo-Corrente@gastech.com.kronos",1088,"1/17/2014 13:36","RE: Managing perceptions about the IPO","Ada.Campo-Corrente@gastech.com.kronos","1","17","2014 13:36"
"8","Ada.Campo-Corrente@gastech.com.kronos",1092,"1/17/2014 13:45","RE: Managing perceptions about the IPO","Sten.Sanjorge Jr.@gastech.com.tethys","1","17","2014 13:45"
"9","Ada.Campo-Corrente@gastech.com.kronos",1092,"1/17/2014 13:45","RE: Managing perceptions about the IPO","Ada.Campo-Corrente@gastech.com.kronos","1","17","2014 13:45"
"10","Ada.Campo-Corrente@gastech.com.kronos",124,"1/7/2014 11:51","RE: Hey, I’m going home sick.","Felix.Resumir@gastech.com.kronos","1","7","2014 11:51"
"11","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Rachel.Pantanal@gastech.com.kronos","1","7","2014 17:02"
"12","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Lars.Azada@gastech.com.kronos","1","7","2014 17:02"
"13","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Felix.Balas@gastech.com.kronos","1","7","2014 17:02"
"14","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Isande.Borrasca@gastech.com.kronos","1","7","2014 17:02"
"15","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Axel.Calzas@gastech.com.kronos","1","7","2014 17:02"
"16","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Gustav.Cazar@gastech.com.kronos","1","7","2014 17:02"
"17","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Lidelse.Dedos@gastech.com.kronos","1","7","2014 17:02"
"18","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Birgitta.Frente@gastech.com.kronos","1","7","2014 17:02"
"19","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Vira.Frente@gastech.com.kronos","1","7","2014 17:02"
"20","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Adra.Nubarron@gastech.com.kronos","1","7","2014 17:02"
"21","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Marin.Onda@gastech.com.kronos","1","7","2014 17:02"
"22","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Kare.Orilla@gastech.com.kronos","1","7","2014 17:02"
"23","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Elsa.Orilla@gastech.com.kronos","1","7","2014 17:02"
"24","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Brand.Tempestad@gastech.com.kronos","1","7","2014 17:02"
"25","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Ingrid.Barranco@gastech.com.kronos","1","7","2014 17:02"
"26","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Ada.Campo-Corrente@gastech.com.kronos","1","7","2014 17:02"
"27","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Sten.Sanjorge Jr.@gastech.com.kronos","1","7","2014 17:02"
"28","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Orhan.Strum@gastech.com.kronos","1","7","2014 17:02"
"29","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Willem.Vasco-Pais@gastech.com.kronos","1","7","2014 17:02"
"30","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Bertrand.Ovan@gastech.com.kronos","1","7","2014 17:02"
"31","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Albina.Hafon@gastech.com.kronos","1","7","2014 17:02"
"32","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Benito.Hawelon@gastech.com.kronos","1","7","2014 17:02"
"33","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Claudio.Hawelon@gastech.com.kronos","1","7","2014 17:02"
"34","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Henk.Mies@gastech.com.kronos","1","7","2014 17:02"
"35","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Valeria.Morlun@gastech.com.kronos","1","7","2014 17:02"
"36","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Adan.Morlun@gastech.com.kronos","1","7","2014 17:02"
"37","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Cecilia.Morluniau@gastech.com.kronos","1","7","2014 17:02"
"38","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Irene.Nant@gastech.com.kronos","1","7","2014 17:02"
"39","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Dylan.Scozzese@gastech.com.kronos","1","7","2014 17:02"
"40","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Lucas.Alcazar@gastech.com.kronos","1","7","2014 17:02"
"41","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Isak.Baza@gastech.com.kronos","1","7","2014 17:02"
"42","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Linnea.Bergen@gastech.com.kronos","1","7","2014 17:02"
"43","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Nils.Calixto@gastech.com.kronos","1","7","2014 17:02"
"44","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Sven.Flecha@gastech.com.kronos","1","7","2014 17:02"
"45","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Hideki.Cocinaro@gastech.com.kronos","1","7","2014 17:02"
"46","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Inga.Ferro@gastech.com.kronos","1","7","2014 17:02"
"47","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Loreto.Bodrogi@gastech.com.kronos","1","7","2014 17:02"
"48","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Isia.Vann@gastech.com.kronos","1","7","2014 17:02"
"49","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Stenig.Fusil@gastech.com.kronos","1","7","2014 17:02"
"50","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Hennie.Osvaldo@gastech.com.kronos","1","7","2014 17:02"
"51","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Kanon.Herrero@gastech.com.kronos","1","7","2014 17:02"
"52","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Varja.Lagos@gastech.com.kronos","1","7","2014 17:02"
"53","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Minke.Mies@gastech.com.kronos","1","7","2014 17:02"
"54","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Felix.Resumir@gastech.com.kronos","1","7","2014 17:02"
"55","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Edvard.Vann@gastech.com.kronos","1","7","2014 17:02"
"56","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Emile.Arpa@gastech.com.kronos","1","7","2014 17:02"
"57","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Varro.Awelon@gastech.com.kronos","1","7","2014 17:02"
"58","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Mat.Bramar@gastech.com.kronos","1","7","2014 17:02"
"59","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Dante.Coginian@gastech.com.kronos","1","7","2014 17:02"
"60","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Carla.Forluniau@gastech.com.kronos","1","7","2014 17:02"
"61","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Linda.Lagos@gastech.com.kronos","1","7","2014 17:02"
"62","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Cornelia.Lais@gastech.com.kronos","1","7","2014 17:02"
"63","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Ruscella.Mies.Haber@gastech.com.kronos","1","7","2014 17:02"
"64","Ada.Campo-Corrente@gastech.com.kronos",213,"1/7/2014 17:02","RE: Planning for staff picnic","Anda.Ribera@gastech.com.kronos","1","7","2014 17:02"
"65","Ada.Campo-Corrente@gastech.com.kronos",247,"1/8/2014 9:54","RE: Impact of Kronos politics on upcoming rollout","Orhan.Strum@gastech.com.kronos","1","8","2014 9:54"
"66","Ada.Campo-Corrente@gastech.com.kronos",247,"1/8/2014 9:54","RE: Impact of Kronos politics on upcoming rollout","Sten.Sanjorge Jr.@gastech.com.tethys","1","8","2014 9:54"
"67","Ada.Campo-Corrente@gastech.com.kronos",247,"1/8/2014 9:54","RE: Impact of Kronos politics on upcoming rollout","Ada.Campo-Corrente@gastech.com.kronos","1","8","2014 9:54"
"68","Ada.Campo-Corrente@gastech.com.kronos",253,"1/8/2014 11:02","RE: Impact of Kronos politics on upcoming rollout","Orhan.Strum@gastech.com.kronos","1","8","2014 11:02"
